TIPO|PERIODO|TIPO_USUARIO|TIPO_CONTENIDO|CHANNEL_NAME|USUARIOS|HORAS|GRUPO|PROCESSDATE,,,,,,,,,gsgsfsafasf
T1|202210|FULL|LIVE|FOX SPORTS 3 HD|70345|21798,583333|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|DISNEY JUNIOR|50328|41514,500000|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|WARNER CHANNEL HD|5100|5351,733333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|EL GOURMET HD|1932|365,400000|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|TCM|4277|1448,616666|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|ESPN 3 HD|111989|98395,233333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|FOX SPORTS 2 HD|4219|1898,800000|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|MTV HD|2292|512,966666|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|UCL|1108|65,233333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|CLOVER|2342|738,500000|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|EL GOURMET HD|37259|8677,383333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|HOME & HEALTH HD|2984|2232,150000|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|FX HD|6085|5706,333333|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|USMP TV|32989|2918,533333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|DISCOVERY TURBO|2794|1258,750000|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|GOLTV HD|4527|1821,200000|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|LATINA HD|224697|1182186,516666|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|DISCOVERY KIDS HD|2546|1908,700000|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|LATINA HD|298803|1403871,150000|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|ESPN 4|104945|67642,316666|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|CNN INTERNACIONAL|1720|178,033333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|ESPN 4|5751|2852,166666|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|TOONCAST|1903|504,716666|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|WILLAX|181115|697116,033333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|ANIMAL PLANET HD|2700|750,433333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|AMERICA TELEVISION HD|272082|3645116,983333|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|COMEDY CENTRAL HD|80490|36950,333333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|EUROPA EUROPA HD|2606|479,766666|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|PARAMOUNT HD|79683|63265,300000|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|CARTOON NETWORK HD|2727|1505,750000|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|LOVE NATURE HD|42729|22335,716666|[>0]|,,,,,,,,
T1|202302|FULL|LIVE|ESPN2 PERU|65093|153079,733333|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|PARAMOUNT HD|22124|37887,083333|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|PARAMOUNT HD|1483|2753,583333|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|HOMEGARDEN|3910|7284,783333|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|TCM|15208|17870,300000|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|PANAMERICANA TELEVISION HD|112481|404561,566666|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|PANAMERICANA TELEVISION HD|78560|313132,050000|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|ESPN HD|7171|36241,016666|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|ESPN EXTRA HD|998|1020,200000|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|CANAL J|2480|1479,850000|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|CLOVER|1084|1629,350000|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|STAR CHANNEL|30472|66493,500000|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|GOLTV HD|11111|13324,833333|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|NICK HD|680|1162,850000|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|SPACE HD|2879|7263,766666|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|DISCOVERY TURBO|6710|12982,583333|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|COMEDY CENTRAL HD|940|1164,950000|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|ANIMAL PLANET HD|435|413,800000|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|DISCOVERY KIDS HD|9813|25882,333333|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|AZ CINEMA HD|4409|7762,100000|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|LOVE NATURE HD|7722|10846,600000|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|ATV HD|142961|1006650,883333|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|HOMEGARDEN|269|476,500000|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|FILM & ARTS HD|143|122,550000|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|LOVE NATURE HD|510|749,166666|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|UCL|680|286,600000|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|SPACE HD|39532|94510,350000|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|ESPN EXTRA HD|15758|16860,016666|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|INVEST.DISCOVERYHD|682|2484,616666|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|DISNEY JUNIOR|540|1312,033333|[>5]|,,,,,,,,
T1|202302|LITE|LIVE|TLC|406|778,683333|[>5]|,,,,,,,,
T1|202302|FULL|LIVE|RPP HD|39881|97549,516666|[>5]|,,,,,,,,
